Entgeltgruppe,Stufe,Salary,valid_from,region
E 15Ü,1,6670.37,2025-02-01,ALL
E 15,1,5504.26,2025-02-01,ALL
E 14,1,5003.49,2025-02-01,ALL
E 13,1,4629.74,2025-02-01,ALL
E 12,1,4193.48,2025-02-01,ALL
E 11,1,4064.54,2025-02-01,ALL
E 10,1,3928.42,2025-02-01,ALL
E 9b,1,3520.1,2025-02-01,ALL
E 9a,1,3520.1,2025-02-01,ALL
E 8,1,3319.52,2025-02-01,ALL
E 7,1,3135.83,2025-02-01,ALL
E 6,1,3086.57,2025-02-01,ALL
E 5,1,2973.97,2025-02-01,ALL
E 4,1,2849.24,2025-02-01,ALL
E 3,1,2815.57,2025-02-01,ALL
E 2Ü,1,2711.2,2025-02-01,ALL
E 2,1,2642.84,2025-02-01,ALL
E 15Ü,2,7380.67,2025-02-01,ALL
E 15,2,5902.04,2025-02-01,ALL
E 14,2,5365.66,2025-02-01,ALL
E 13Ü,2,4967.01,2025-02-01,ALL
E 13,2,4967.01,2025-02-01,ALL
E 12,2,4474.13,2025-02-01,ALL
E 11,2,4323.79,2025-02-01,ALL
E 10,2,4182.83,2025-02-01,ALL
E 9b,2,3765.38,2025-02-01,ALL
E 9a,2,3765.38,2025-02-01,ALL
E 8,2,3559.02,2025-02-01,ALL
E 7,2,3369.72,2025-02-01,ALL
E 6,2,3318.08,2025-02-01,ALL
E 5,2,3201.87,2025-02-01,ALL
E 4,2,3079.22,2025-02-01,ALL
E 3,2,3040.47,2025-02-01,ALL
E 2Ü,2,2930.72,2025-02-01,ALL
E 2,2,2853.24,2025-02-01,ALL
E 1,2,2434.49,2025-02-01,ALL
E 15Ü,3,8054.8,2025-02-01,ALL
E 15,3,6112.24,2025-02-01,ALL
E 14,3,5662.85,2025-02-01,ALL
E 13Ü,3,5220.71,2025-02-01,ALL
E 13,3,5220.71,2025-02-01,ALL
E 12,3,5068.49,2025-02-01,ALL
E 11,3,4619.1,2025-02-01,ALL
E 10,3,4474.13,2025-02-01,ALL
E 9b,3,3925.17,2025-02-01,ALL
E 9a,3,3818.66,2025-02-01,ALL
E 8,3,3692.14,2025-02-01,ALL
E 7,3,3545.69,2025-02-01,ALL
E 6,3,3447.2,2025-02-01,ALL
E 5,3,3330.99,2025-02-01,ALL
E 4,3,3240.61,2025-02-01,ALL
E 3,3,3105.03,2025-02-01,ALL
E 2Ü,3,3014.64,2025-02-01,ALL
E 2,3,2917.8,2025-02-01,ALL
E 1,3,2465.06,2025-02-01,ALL
E 15Ü,4,8496.92,2025-02-01,ALL
E 15,4,6858.84,2025-02-01,ALL
E 14,4,6112.24,2025-02-01,ALL
E 13Ü,4,6112.24,2025-02-01,ALL
E 13,4,5713.58,2025-02-01,ALL
E 12,4,5590.37,2025-02-01,ALL
E 11,4,5068.49,2025-02-01,ALL
E 10,4,4771.29,2025-02-01,ALL
E 9b,4,4366.72,2025-02-01,ALL
E 9a,4,3925.17,2025-02-01,ALL
E 8,4,3818.66,2025-02-01,ALL
E 7,4,3678.84,2025-02-01,ALL
E 6,4,3578.99,2025-02-01,ALL
E 5,4,3453.66,2025-02-01,ALL
E 4,4,3330.99,2025-02-01,ALL
E 3,4,3208.32,2025-02-01,ALL
E 2Ü,4,3117.96,2025-02-01,ALL
E 2,4,2982.36,2025-02-01,ALL
E 1,4,2501.78,2025-02-01,ALL
E 15Ü,5,8605.68,2025-02-01,ALL
E 15,5,7424.19,2025-02-01,ALL
E 14,5,6800.81,2025-02-01,ALL
E 13Ü,5,6800.81,2025-02-01,ALL
E 13,5,6394.91,2025-02-01,ALL
E 12,5,6264.45,2025-02-01,ALL
E 11,5,5720.84,2025-02-01,ALL
E 10,5,5336.7,2025-02-01,ALL
E 9b,5,4742.32,2025-02-01,ALL
E 9a,5,4366.72,2025-02-01,ALL
E 8,5,3958.47,2025-02-01,ALL
E 7,5,3785.37,2025-02-01,ALL
E 6,5,3665.52,2025-02-01,ALL
E 5,5,3552.34,2025-02-01,ALL
E 4,5,3421.39,2025-02-01,ALL
E 3,5,3292.25,2025-02-01,ALL
E 2Ü,5,3188.97,2025-02-01,ALL
E 2,5,3130.84,2025-02-01,ALL
E 1,5,2538.51,2025-02-01,ALL
E 15,6,7640.58,2025-02-01,ALL
E 14,6,6998.52,2025-02-01,ALL
E 13Ü,6,6998.52,2025-02-01,ALL
E 13,6,6580.44,2025-02-01,ALL
E 12,6,6446.05,2025-02-01,ALL
E 11,6,5886.14,2025-02-01,ALL
E 10,6,5490.47,2025-02-01,ALL
E 9b,6,4878.28,2025-02-01,ALL
E 9a,6,4490.04,2025-02-01,ALL
E 8,6,4045.01,2025-02-01,ALL
E 7,6,3878.56,2025-02-01,ALL
E 6,6,3758.72,2025-02-01,ALL
E 5,6,3618.92,2025-02-01,ALL
E 4,6,3479.47,2025-02-01,ALL
E 3,6,3363.27,2025-02-01,ALL
E 2Ü,6,3285.81,2025-02-01,ALL
E 2,6,3285.81,2025-02-01,ALL
E 1,6,2630.3,2025-02-01,ALL
